A=5818 B=3462 C=7313 X=198986823 Y=4195674399 Z=97962322646 M=7590
A=5989 B=7386 C=8133 X=702749213 Y=6556161334 Z=99554293801 M=2105
A=9233 B=8183 C=6783 X=234761272 Y=6029310491 Z=19699053414 M=9871
A=9454 B=3508 C=9636 X=563269900 Y=8270259048 Z=62019084722 M=3197
A=2612 B=4419 C=6183 X=840484681 Y=2624806485 Z=11132493552 M=7878
A=4430 B=5319 C=7100 X=974694674 Y=4074881728 Z=78103259329 M=9181
A=7150 B=8121 C=5981 X=395170127 Y=4447930996 Z=87315615575 M=4715
A=8003 B=3576 C=5235 X=305012164 Y=4954279924 Z=11045067243 M=1964
A=8407 B=4402 C=7543 X=436327041 Y=6171013415 Z=83163266513 M=6914
A=5433 B=7623 C=7891 X=477858704 Y=8892276667 Z=35793545573 M=1356
A=9931 B=7126 C=6476 X=681678055 Y=1872835893 Z=59526013224 M=6678
A=2303 B=3706 C=9695 X=823988798 Y=8127617538 Z=68619174849 M=1737
A=6852 B=3241 C=6386 X=168968072 Y=7041702676 Z=11110568195 M=3447
A=3390 B=3601 C=8667 X=181129930 Y=7629671335 Z=49013467354 M=6106
A=9991 B=7172 C=8030 X=683937152 Y=7616772993 Z=36252409663 M=8850
A=7220 B=9317 C=9995 X=413340398 Y=1556983102 Z=86301533263 M=3153
A=7850 B=3174 C=8735 X=826654114 Y=6359734740 Z=36665789534 M=2093
A=6390 B=7492 C=9014 X=994133488 Y=5919241918 Z=59408813316 M=3569
A=7177 B=8331 C=9273 X=347768737 Y=1170628398 Z=95648248162 M=6780
A=4819 B=4075 C=7286 X=557643900 Y=7217770817 Z=27830950296 M=9866
A=7580 B=3370 C=7829 X=209788891 Y=4076447476 Z=16928258484 M=7544
A=3946 B=9968 C=6969 X=709087876 Y=6717672986 Z=50279178840 M=6576
A=3938 B=7503 C=7573 X=362021225 Y=9051328522 Z=38254595188 M=7979
A=2502 B=3965 C=6224 X=880861728 Y=3464957759 Z=31185482213 M=3159
A=3577 B=9941 C=6922 X=777735195 Y=1924320654 Z=71542505665 M=3115
A=3350 B=5687 C=9964 X=332600844 Y=2745672947 Z=45717553407 M=5998
A=6849 B=6242 C=9546 X=488766474 Y=7782462181 Z=93312477456 M=3982
A=2882 B=4446 C=7168 X=169003235 Y=6275488313 Z=51860574235 M=6794
A=8204 B=5790 C=8053 X=784813796 Y=6188567029 Z=35836988663 M=8452
A=9710 B=4095 C=7099 X=512418392 Y=5187745640 Z=67851458093 M=6371
A=5780 B=9616 C=9275 X=926308141 Y=2522630685 Z=52258995088 M=4716
A=2493 B=7809 C=9858 X=758128721 Y=8915320474 Z=53825150002 M=9280
A=4428 B=6285 C=8822 X=311365090 Y=4053974884 Z=19200455153 M=6880
A=7998 B=9158 C=6059 X=453788904 Y=2528072269 Z=64003789464 M=1146
A=3669 B=9316 C=6001 X=320793935 Y=7775568448 Z=37325899090 M=4657
A=9874 B=4769 C=9488 X=866387163 Y=3632649792 Z=90903579475 M=6418
A=6878 B=3334 C=6711 X=802186015 Y=7522023624 Z=26616501353 M=6472
A=4984 B=8867 C=5302 X=712406008 Y=4356933335 Z=65748089730 M=9877
A=7680 B=4519 C=8510 X=934876399 Y=7334358208 Z=51807754978 M=7462
A=8192 B=8119 C=6158 X=108727903 Y=2817441471 Z=26355728297 M=9154
A=5775 B=5412 C=9628 X=550232857 Y=1084703645 Z=19706208210 M=7531
A=6750 B=9262 C=9432 X=354020761 Y=4570008525 Z=35531875746 M=7789
A=2445 B=6045 C=5767 X=951898763 Y=6655069842 Z=58916830590 M=7373
A=3483 B=8606 C=8449 X=200033929 Y=4769262841 Z=58808659634 M=7524
A=5659 B=7118 C=8181 X=697676543 Y=2013204372 Z=16050564665 M=9805
A=9776 B=5274 C=6169 X=406081421 Y=5489282202 Z=39047378910 M=6077
A=2302 B=3617 C=8424 X=676330942 Y=3980122213 Z=62606606946 M=6294
A=6823 B=7898 C=7587 X=831682899 Y=9508822739 Z=58024497257 M=4018
A=7265 B=8632 C=6103 X=647593280 Y=5380980356 Z=58164129144 M=3730
A=4184 B=8197 C=5895 X=673687725 Y=4824975768 Z=74732134348 M=2953
A=2904 B=5975 C=7327 X=398367816 Y=2301749167 Z=49361146617 M=5179
A=9198 B=7235 C=5870 X=134566233 Y=7456332349 Z=61609596289 M=6734
A=7480 B=7403 C=7565 X=585882793 Y=5339210312 Z=58602538136 M=1311
A=2972 B=6854 C=6550 X=899328789 Y=7172567613 Z=49848747063 M=8447
A=7581 B=5575 C=7721 X=714584935 Y=4010872053 Z=47096523423 M=6153
A=2436 B=9644 C=6424 X=931336435 Y=4791173279 Z=61630678157 M=6075
A=6370 B=8970 C=6415 X=355666800 Y=3281285449 Z=44938212170 M=6547
A=7072 B=9140 C=8056 X=202978865 Y=6683826895 Z=79496992743 M=3786
A=8719 B=5015 C=5967 X=768586022 Y=1860433537 Z=54242363911 M=5914
A=2411 B=6861 C=7943 X=860573663 Y=8630545531 Z=57016706718 M=1067
A=4217 B=3923 C=8310 X=584856710 Y=6178031222 Z=43890378896 M=7872
A=7261 B=9301 C=9663 X=527280061 Y=5490798567 Z=56088851509 M=1703
A=8875 B=8889 C=7848 X=266909632 Y=5279977055 Z=67969288037 M=5543
A=5846 B=7555 C=6444 X=546516972 Y=6837346210 Z=83268942048 M=7324
A=6360 B=4388 C=9219 X=439254817 Y=3266714948 Z=20321174039 M=7029
A=4974 B=8849 C=8008 X=868913637 Y=7624128950 Z=37258201066 M=4971
A=2897 B=8407 C=8254 X=739708803 Y=7195310666 Z=31440503353 M=9759
A=5301 B=6138 C=6214 X=571623830 Y=3505023049 Z=96174811815 M=8823
A=3805 B=4767 C=8920 X=393207045 Y=9361306483 Z=15401807722 M=7230
A=5603 B=4549 C=9225 X=396424579 Y=7769929334 Z=51938020006 M=9761
A=8863 B=3583 C=6884 X=587000250 Y=1198371156 Z=14155849125 M=1681
A=9638 B=5398 C=7514 X=540135656 Y=2680229449 Z=45296029567 M=7354
A=7291 B=9089 C=8760 X=315591424 Y=9123149340 Z=79125742443 M=8748
A=2471 B=5936 C=5372 X=884246276 Y=9794561544 Z=48402626025 M=6399
A=4875 B=6157 C=6964 X=920359990 Y=1684943889 Z=43730772691 M=1476
A=7920 B=6304 C=6622 X=805143355 Y=6492105518 Z=67824687282 M=6372
A=6409 B=6999 C=8161 X=674880211 Y=5838700148 Z=27446700571 M=4360
A=7440 B=8446 C=7182 X=886626461 Y=3335980382 Z=66353698766 M=3124
A=6609 B=4604 C=9862 X=413106078 Y=6481522131 Z=86429718802 M=9692
A=2324 B=7302 C=8035 X=270182279 Y=5281920226 Z=49236625913 M=4791
A=4997 B=3929 C=8084 X=141593566 Y=1940478689 Z=42296427312 M=5435
A=7587 B=3615 C=8056 X=450139416 Y=8059786852 Z=54075003782 M=1682
A=4972 B=4793 C=6838 X=505724478 Y=3389876073 Z=62414589259 M=7585
A=3694 B=5945 C=8668 X=980514390 Y=7332324836 Z=27742928279 M=7684
A=5208 B=3027 C=9127 X=775459127 Y=6992600402 Z=79039027577 M=7640
A=5321 B=4518 C=9343 X=390013214 Y=9509675543 Z=80949820045 M=1230
A=3483 B=8700 C=9840 X=280313587 Y=7984740808 Z=47713613230 M=6759
A=4206 B=9353 C=7108 X=723279427 Y=8777681202 Z=80614791482 M=8193
A=3177 B=5466 C=8661 X=966532163 Y=5757741963 Z=63909094637 M=1858
A=2711 B=3607 C=8150 X=622670397 Y=9477426824 Z=42858645262 M=9436
A=9173 B=6156 C=9609 X=113295251 Y=8211936445 Z=55147565504 M=5532
A=5159 B=9330 C=5275 X=808754288 Y=6801312570 Z=65888431464 M=4630
A=8634 B=4985 C=5786 X=283908382 Y=4880875468 Z=65799076690 M=1613
A=8278 B=7497 C=8734 X=882149543 Y=9141879063 Z=26029596818 M=7704
A=9905 B=8678 C=5682 X=797352162 Y=3135426213 Z=16480441647 M=2891
A=8623 B=7619 C=7711 X=518942360 Y=1645814879 Z=93039490717 M=9809
A=2167 B=3667 C=7537 X=897996093 Y=8022888248 Z=71682972123 M=8001
A=6103 B=9340 C=6706 X=874416305 Y=1663246621 Z=45514794429 M=8218
A=6806 B=7479 C=6446 X=383044543 Y=9999179299 Z=61057231672 M=8941
A=9761 B=6960 C=9473 X=645371549 Y=6250830651 Z=74007469569 M=2478
A=8827 B=9238 C=8804 X=159082962 Y=7981901474 Z=93681417033 M=8177
A=8718 B=3197 C=5803 X=132865253 Y=6657100527 Z=68322503896 M=8484
A=3646 B=6056 C=8130 X=128533836 Y=3440294735 Z=37304660879 M=9659
A=5113 B=4530 C=6393 X=590261835 Y=9868871551 Z=52876217061 M=6198
A=9155 B=3465 C=6164 X=522367365 Y=5871642580 Z=60745096673 M=9070
A=5695 B=9273 C=7297 X=208855888 Y=5660613935 Z=86202295207 M=1538
A=7102 B=5250 C=7709 X=742649098 Y=8540532698 Z=19924811800 M=2010
A=8837 B=9664 C=9546 X=808770953 Y=2686804879 Z=95089617183 M=4856
A=7574 B=4160 C=5348 X=749477171 Y=7246175058 Z=93108816675 M=5563
A=2075 B=8643 C=6205 X=839632000 Y=9709509046 Z=29267787138 M=4125
A=7082 B=6156 C=7626 X=679905573 Y=1766064289 Z=31303505055 M=6823
A=5264 B=9135 C=7350 X=128475164 Y=2857003879 Z=85478938061 M=3966
A=6021 B=4090 C=9028 X=200448537 Y=5212721318 Z=41167566940 M=2172
A=4020 B=5393 C=8942 X=581802046 Y=2347646757 Z=95554826611 M=8413
A=5611 B=4038 C=7304 X=440662623 Y=8878110492 Z=28351919749 M=9618
A=7325 B=6967 C=8705 X=131730313 Y=3916943612 Z=68011375132 M=1205
A=6189 B=6841 C=8107 X=961095934 Y=9346056448 Z=37439830094 M=9226
A=8736 B=9220 C=5816 X=393573858 Y=4995183716 Z=49246872742 M=2880
A=2154 B=9018 C=6896 X=266378509 Y=5316341794 Z=81910797444 M=3629
A=2812 B=6562 C=9729 X=183148427 Y=2745432033 Z=74807768761 M=9225
A=7174 B=5442 C=9091 X=796172437 Y=5039673704 Z=35470123460 M=7715
A=3267 B=5349 C=8510 X=152695111 Y=8628164333 Z=25580508631 M=7222
A=5180 B=3887 C=8425 X=432039772 Y=3542392296 Z=27483649494 M=5515
A=9357 B=8215 C=6287 X=448347164 Y=6471362210 Z=10130971936 M=2591
A=2122 B=5689 C=7443 X=306503903 Y=2645577971 Z=47319698586 M=6940
A=5988 B=8246 C=5647 X=229466714 Y=5916838440 Z=37592461954 M=5543
A=5748 B=6563 C=6227 X=831981818 Y=3009651780 Z=67171879699 M=9628
A=8186 B=3548 C=5605 X=116525881 Y=1729600361 Z=86836826435 M=3571
A=9767 B=6232 C=6213 X=995279640 Y=6303789947 Z=62474931999 M=6376
A=6129 B=7948 C=7462 X=242251937 Y=7393741137 Z=22012105134 M=3428
A=9108 B=7966 C=5599 X=913523554 Y=8173569715 Z=22019816972 M=9584
A=7617 B=6201 C=6644 X=198399717 Y=4596621136 Z=21693888947 M=2613
A=5624 B=3557 C=8901 X=940549082 Y=6787476007 Z=41419476937 M=6555
A=7265 B=9717 C=8706 X=120623248 Y=3638808391 Z=23573661910 M=8071
A=7168 B=8321 C=7149 X=948240013 Y=5682566147 Z=41769096852 M=4147
A=4020 B=9479 C=6705 X=701198496 Y=9538231721 Z=15100110004 M=6360
A=9196 B=4423 C=5896 X=915946802 Y=5856657501 Z=49879877833 M=8557
A=3501 B=3119 C=7239 X=605434235 Y=4561805356 Z=21754288193 M=8614
A=8446 B=9230 C=8706 X=653377891 Y=4855061337 Z=53403849086 M=8829
A=3294 B=9905 C=8644 X=800245353 Y=7778668586 Z=96917363220 M=8364
A=9595 B=7888 C=7897 X=621754981 Y=9994399165 Z=22378295485 M=7914
A=7106 B=7446 C=8141 X=431263117 Y=1900765296 Z=97960812152 M=4226
A=3301 B=7650 C=5676 X=313914332 Y=8786824728 Z=74541041860 M=7698
A=8589 B=5016 C=6049 X=398061022 Y=5199337162 Z=22817974239 M=3549
A=3983 B=6141 C=6401 X=780695952 Y=7257953292 Z=35939341035 M=7840
A=3459 B=5262 C=5168 X=706165833 Y=4898973568 Z=42929033371 M=1239
A=6311 B=6302 C=8825 X=181268932 Y=8975408250 Z=50086375138 M=5376
A=6052 B=5490 C=7752 X=383244062 Y=9249150937 Z=47817556778 M=8934
A=5906 B=3059 C=7036 X=534504586 Y=8703332820 Z=61657031905 M=4616
A=5999 B=9287 C=8235 X=425285500 Y=3761618872 Z=51007772429 M=2916
A=7580 B=6239 C=8755 X=152478961 Y=8783790385 Z=12204318917 M=1318
A=3127 B=3157 C=9773 X=812479748 Y=6319358726 Z=83551605484 M=8157
A=3421 B=5200 C=9572 X=355642043 Y=6964761928 Z=10556322815 M=7971
A=2663 B=8039 C=7733 X=158559825 Y=1906603610 Z=14970411791 M=8495
A=8981 B=6611 C=6853 X=514340938 Y=4836176739 Z=98619518986 M=8195
A=7802 B=6726 C=6174 X=871900336 Y=3327332788 Z=37590055697 M=9274
A=3166 B=8897 C=6498 X=862640908 Y=7684669995 Z=54847395365 M=5488
A=7081 B=4935 C=7939 X=222108068 Y=4796694198 Z=61333075255 M=6875
A=4373 B=7496 C=9612 X=561394350 Y=3183800658 Z=13890840229 M=9824
A=5815 B=8555 C=8397 X=663094871 Y=8781902673 Z=82612196739 M=9250
A=8821 B=9389 C=5795 X=657901398 Y=1362196605 Z=96984018583 M=7365
A=4542 B=5366 C=8891 X=140430136 Y=7146447711 Z=74638442904 M=6896
A=9811 B=8470 C=9506 X=540058237 Y=4287534596 Z=16645542725 M=3336
A=9442 B=7575 C=8111 X=673342260 Y=1596013312 Z=29992333085 M=1891
A=5811 B=4084 C=5027 X=633703267 Y=9494459323 Z=12079038200 M=6203
A=8798 B=9345 C=6790 X=395590139 Y=4145930878 Z=40662051563 M=3803
A=9496 B=5041 C=7254 X=402259609 Y=7173546805 Z=64870686527 M=4900
A=4411 B=5068 C=5467 X=767813775 Y=6113431759 Z=50246818445 M=3731
A=7777 B=5680 C=8328 X=490918063 Y=8516348876 Z=22122714270 M=1884
A=5986 B=4359 C=9442 X=632941916 Y=6575122073 Z=32064194533 M=7861
A=7369 B=3239 C=9587 X=960179961 Y=8211136329 Z=40340016015 M=4770
A=8500 B=5246 C=6995 X=995904879 Y=8068935948 Z=61207594798 M=1153
A=7849 B=4140 C=6305 X=964420137 Y=8074128657 Z=22676347170 M=8268
A=9479 B=9234 C=7077 X=277885629 Y=2939164600 Z=11213461303 M=7467
A=4365 B=9742 C=8054 X=151089295 Y=9641403478 Z=46068103126 M=5614
A=3540 B=9624 C=8989 X=107396200 Y=4771410561 Z=72663026111 M=6638
A=6698 B=7785 C=7455 X=239748412 Y=8712286416 Z=56803085342 M=6387
A=3861 B=9292 C=8573 X=323783820 Y=4136117549 Z=40858132737 M=6593
A=4002 B=4728 C=9105 X=401620125 Y=9157952034 Z=63676684170 M=5171
A=4639 B=9592 C=6678 X=262148437 Y=6856384589 Z=33623278706 M=4984
A=9610 B=5168 C=8293 X=542401961 Y=4512982092 Z=74469267605 M=1436
A=4317 B=9545 C=5034 X=124970725 Y=9701074968 Z=62794180892 M=8150
A=4505 B=8541 C=9921 X=773464265 Y=8051943581 Z=74955233293 M=8518
A=5746 B=9113 C=5764 X=951059339 Y=8978207002 Z=95728009113 M=8839
A=8733 B=8362 C=9696 X=204163434 Y=9406605602 Z=22440075847 M=7298
A=7615 B=6260 C=7319 X=872266271 Y=7744458536 Z=34491974496 M=6989
A=4884 B=4008 C=5858 X=379369422 Y=3963027193 Z=36092476260 M=6223
A=2754 B=5316 C=7202 X=744515237 Y=1129416386 Z=49650574493 M=9651
A=6467 B=4093 C=9120 X=670071240 Y=1840972905 Z=21081363289 M=4363
A=7220 B=4174 C=5143 X=814135753 Y=8488803263 Z=92506307618 M=9885
A=6632 B=6539 C=5171 X=511966232 Y=1922340661 Z=93632209149 M=1090
A=4887 B=5023 C=7991 X=510778795 Y=5757535570 Z=72470792353 M=8258
A=7226 B=7299 C=8146 X=104032325 Y=1899706069 Z=69733229153 M=7431
A=3895 B=3011 C=6020 X=265374356 Y=5170565696 Z=86256830721 M=2367
A=9924 B=3314 C=6676 X=440504878 Y=4464389686 Z=55813865728 M=9953
A=8658 B=4363 C=7985 X=160810472 Y=8595421174 Z=27884961053 M=2422
A=9610 B=9282 C=9582 X=238839645 Y=2850544530 Z=41435368440 M=5448
A=3822 B=3358 C=7785 X=321137914 Y=3137513198 Z=43479819997 M=3735
A=9376 B=4640 C=8762 X=708664812 Y=3986645029 Z=83021626914 M=9456
A=4486 B=6931 C=8663 X=759809982 Y=5498620093 Z=87374137445 M=1829
A=2199 B=4072 C=7257 X=412172438 Y=1326771255 Z=38142224157 M=4769
A=7868 B=3499 C=6143 X=791481078 Y=9336899768 Z=77769637511 M=9642
A=5380 B=3250 C=8493 X=261462851 Y=4568025154 Z=42831113010 M=3558
A=9865 B=9560 C=6340 X=241515839 Y=1691942565 Z=99222768341 M=8880
A=3514 B=7112 C=8375 X=470819749 Y=6481772939 Z=36655639511 M=5330
A=5167 B=7403 C=9429 X=886569251 Y=3974127792 Z=30101411870 M=8949
A=3193 B=8587 C=5266 X=198061238 Y=6395254143 Z=65465705379 M=8096
A=4987 B=7658 C=7769 X=208532230 Y=5349419739 Z=94870083386 M=6886
A=8087 B=8892 C=9473 X=937823234 Y=8901182908 Z=69650616266 M=5201
A=8806 B=4932 C=9369 X=864760904 Y=2968849301 Z=61317008958 M=3211
A=7862 B=7737 C=7088 X=285336603 Y=9446663457 Z=33033282823 M=1509
A=5454 B=7643 C=5663 X=101089880 Y=7437406939 Z=85703289745 M=9500
A=5194 B=8346 C=9961 X=911476387 Y=5365975041 Z=65649868288 M=9410
A=5462 B=3154 C=6946 X=999872738 Y=3874019552 Z=88235517539 M=6828
A=9748 B=8415 C=9447 X=326045561 Y=3538873034 Z=43321592758 M=3322
A=3356 B=9650 C=5305 X=884653826 Y=8258115390 Z=49512725396 M=9681
A=4512 B=4019 C=5235 X=204838092 Y=8652296327 Z=67783405824 M=7006
A=5356 B=9579 C=7719 X=278702469 Y=6793137807 Z=58163862401 M=2259
A=7361 B=5439 C=5486 X=979672892 Y=9619936392 Z=52792669817 M=5325
A=7427 B=9601 C=8404 X=740111689 Y=8203171814 Z=45204677081 M=3275
A=8677 B=6436 C=7652 X=828985885 Y=6537605468 Z=86325791206 M=6427
A=9298 B=4113 C=5958 X=789327898 Y=3965944806 Z=75003963613 M=7402
A=8874 B=9204 C=7551 X=478209424 Y=1628783119 Z=91825881388 M=1898
A=4123 B=7054 C=9130 X=801386007 Y=6060467662 Z=61149674249 M=8636
A=8773 B=7565 C=7770 X=757338846 Y=7210130748 Z=30957049340 M=7792
A=7953 B=6733 C=5705 X=450376738 Y=9323439821 Z=77676303022 M=5991
A=4437 B=8331 C=7234 X=300848658 Y=3045472356 Z=75910473964 M=9304
A=9127 B=4903 C=6755 X=774940574 Y=5853118520 Z=92630314975 M=7351
A=5148 B=3579 C=5166 X=103764295 Y=6284730243 Z=69029827224 M=1714
A=4046 B=7903 C=9940 X=905325792 Y=5719519642 Z=58758833984 M=4566
A=2191 B=3656 C=5027 X=834294703 Y=6871314573 Z=50139271024 M=8975
A=8258 B=9114 C=9222 X=762883204 Y=2185678118 Z=88215503621 M=2958
A=2579 B=7330 C=5419 X=809017750 Y=4648645635 Z=51528853676 M=1735
A=6032 B=3002 C=9704 X=761511651 Y=7404546881 Z=46601799765 M=4541
A=6884 B=9065 C=8763 X=246357393 Y=3637168914 Z=47001305616 M=4224
A=4231 B=5666 C=7166 X=348530422 Y=1182637635 Z=26417695167 M=4761
A=4575 B=6205 C=8403 X=833026845 Y=1320223967 Z=51039759812 M=1089
A=3414 B=9928 C=8822 X=633612207 Y=3256292490 Z=98972051650 M=1068
A=6232 B=6997 C=8333 X=865291816 Y=6156932215 Z=96200916181 M=9969
A=7931 B=5580 C=7288 X=908738614 Y=1723366697 Z=55076711190 M=4397
A=8838 B=4409 C=5922 X=708626677 Y=9823981469 Z=35456582682 M=3339
A=8986 B=4945 C=5998 X=693075246 Y=6346342760 Z=79180010453 M=7522
A=2161 B=9946 C=8920 X=777469204 Y=7923191242 Z=25316998775 M=6607
A=2706 B=8483 C=5525 X=327189757 Y=6287659744 Z=64941643632 M=3871
A=3369 B=6178 C=5736 X=904290296 Y=4099471532 Z=58225065144 M=2081
A=7060 B=7093 C=9739 X=205418511 Y=4147633637 Z=21712631009 M=4105
A=6653 B=5742 C=6262 X=682605173 Y=7905449459 Z=53594844145 M=7723
A=8322 B=9255 C=5475 X=951266809 Y=3630750281 Z=65620341913 M=9880
A=4622 B=6252 C=9821 X=331876371 Y=1111023152 Z=37921553568 M=9826
A=9041 B=4833 C=6309 X=182963161 Y=7197127681 Z=22644516221 M=3001
A=7774 B=3246 C=5877 X=291856672 Y=9919472406 Z=54993143237 M=7004
A=5082 B=9677 C=7641 X=882651081 Y=5050449756 Z=24885069737 M=8049
A=4006 B=3590 C=6056 X=837790906 Y=5562970029 Z=58302210673 M=3122
A=4641 B=4936 C=5267 X=606723573 Y=1343553624 Z=75962539231 M=5770
A=3445 B=7688 C=9526 X=396239562 Y=2375126639 Z=57222544061 M=1612
A=3177 B=4740 C=8721 X=507983237 Y=9187930689 Z=71821101767 M=7428
A=6173 B=7924 C=9684 X=539458058 Y=3334099465 Z=39629542306 M=5956
A=7815 B=4159 C=9750 X=787696616 Y=5261429482 Z=36509697424 M=2620
A=3868 B=4702 C=6775 X=612776342 Y=9134743217 Z=32206309970 M=4810
A=3084 B=7169 C=8795 X=497667032 Y=4663882417 Z=21233974035 M=1072
A=9375 B=3260 C=7959 X=679521974 Y=2406977806 Z=48064718404 M=4714
A=9914 B=3866 C=9193 X=517709302 Y=2662351557 Z=78881066411 M=5615
A=3604 B=6987 C=9446 X=936528563 Y=9892720432 Z=54722821317 M=4415
A=4472 B=5874 C=5685 X=135691006 Y=6050486276 Z=40209227904 M=4190
A=5697 B=6372 C=7090 X=817662286 Y=8811701061 Z=47431358229 M=8076
A=6642 B=5711 C=9919 X=801705673 Y=4025509626 Z=60451981984 M=4440
A=7400 B=5577 C=8457 X=585353392 Y=5106522607 Z=83903774885 M=5241
A=6264 B=5601 C=9620 X=320514268 Y=8275006408 Z=47951691162 M=2621
A=9154 B=9213 C=5080 X=942470584 Y=2175430305 Z=70502805114 M=2581
A=2074 B=6046 C=5042 X=220200654 Y=1062981339 Z=64551141457 M=4917
A=6312 B=5812 C=5267 X=810579491 Y=5007395472 Z=92208864851 M=5509
A=2915 B=5930 C=6239 X=228597122 Y=7398651390 Z=76939889972 M=1794
A=6029 B=8127 C=6797 X=663914657 Y=3167824361 Z=66460217954 M=8424
A=6266 B=7927 C=7218 X=216020853 Y=5608059140 Z=21936478485 M=2388
A=9557 B=9739 C=7328 X=745110531 Y=2485696735 Z=60544429924 M=2827
A=5847 B=6808 C=9630 X=699649332 Y=9848460182 Z=77470363608 M=3431
A=3671 B=3725 C=8265 X=856992229 Y=2513703975 Z=30385531595 M=6615
A=6777 B=9484 C=5161 X=528979520 Y=1093102928 Z=95850581616 M=9287
A=6945 B=9647 C=5207 X=341620426 Y=1899438768 Z=67592807677 M=4743
A=9619 B=4788 C=8231 X=532388443 Y=3067246207 Z=76979701611 M=8350
A=4073 B=9915 C=8691 X=518624018 Y=3698899434 Z=25164537179 M=5249
A=4259 B=4263 C=5727 X=732169026 Y=9625944132 Z=90356700840 M=6253
A=2114 B=5976 C=5601 X=817542647 Y=6030286245 Z=72380138534 M=9127
A=8527 B=5158 C=9173 X=161857348 Y=5139762135 Z=22867562082 M=6916
A=3760 B=7864 C=8088 X=970659519 Y=2490773521 Z=75002978325 M=4617
A=9432 B=8209 C=7152 X=137424608 Y=2138053012 Z=47909335381 M=9685
A=4570 B=7307 C=6685 X=217251916 Y=8104819707 Z=92815932775 M=7222
A=5150 B=9863 C=5181 X=762266594 Y=8596017129 Z=99428933822 M=7602
A=4287 B=6640 C=5538 X=237419284 Y=5642988308 Z=10430190115 M=6465
A=3911 B=9081 C=6165 X=615990557 Y=5810616747 Z=99128435892 M=7852
A=8258 B=7024 C=6095 X=353591934 Y=6657186852 Z=26742870741 M=1896
A=4323 B=8082 C=9238 X=171600338 Y=9941722837 Z=20832419214 M=6011
A=8380 B=9216 C=7948 X=782796496 Y=3230851971 Z=53315402694 M=6599
A=8566 B=7512 C=8543 X=700199796 Y=4236053309 Z=92394332383 M=4650
A=6581 B=8444 C=9994 X=642199492 Y=1763826536 Z=35842592612 M=6819
A=5026 B=5077 C=6221 X=174266052 Y=9555807765 Z=21797615268 M=2159
A=2622 B=6032 C=9898 X=785388900 Y=4880790385 Z=92015344312 M=9146
A=9997 B=9331 C=9877 X=617458026 Y=7577540628 Z=57727746874 M=1027
A=4014 B=6383 C=8174 X=254955814 Y=6289862688 Z=16087689777 M=9238
A=9398 B=7745 C=5975 X=296875850 Y=7352050806 Z=54771153972 M=8314
A=4429 B=9270 C=9162 X=593860895 Y=4732624739 Z=13535650934 M=2867
A=3045 B=6162 C=8018 X=572431054 Y=1426324827 Z=98270439454 M=9919
