5042463,1505540,582
5042463,1507344,1859
5134099,1263481,1241
5165747,1231943,1412
5165747,1297779,544
5165747,1298176,1404
5210302,1276439,1308
5210302,1279393,1128
5227863,1257931,1500
5227863,1296350,624
5304625,1334774,1595
5304625,1337917,1676
5392720,1422750,1810
5392720,1424800,836
5392720,1427666,1854
5423525,1391054,1869
5522048,1292735,1576
5522048,1492434,935
5522048,1494238,1989
5555352,1325833,1814
5555352,1330047,973
5619084,1261527,1199
5619084,1391602,921
5651784,1228810,1231
5651784,1297622,1082
5665984,1214367,1768
5665984,1244721,848
5665984,1246724,1671
5688483,1236965,1517
5788455,1336906,1716
5788455,1339123,593
5788455,1341543,1667
5866677,1415094,1521
5866677,1419581,858
5966271,1314567,1663
5966271,1517399,626
5991257,1289833,1672
5991257,1342908,846
6033137,1331527,1520
6033137,1334264,762
6033137,1334943,1013
6052588,1311535,1110
6130028,1388779,1259
6130028,1390607,639
6130028,1393123,715
6155462,1362840,1459
6155462,1417634,1806
6183922,1390913,1797
6183922,1393108,693
6231391,1438552,1446
6231391,1441746,990
6287132,1494182,1781
6287132,1496146,635
6287132,1498851,1976
6312338,1468088,1572
6353453,1509521,1135
6353453,1511893,638
6353453,1512592,981
6430721,1586585,1452
6430721,1590799,1225
6489390,1527356,1455
6489390,1647206,981
6521984,1559870,1557
6521984,1564015,1016
6561202,1520073,1334
6561202,1601177,589
6561202,1601979,1095
6631024,1589675,1374
6710096,1509630,1693
6710096,1670674,713
6710096,1673126,743
6750069,1549685,1473
6750069,1554026,1497
6846001,1645968,1436
6846001,1647821,813
6869024,1668680,1502
6869024,1673526,673
6912530,1624393,1472
6912530,1714118,971
6912530,1715993,1091
6949362,1661422,1496
6970342,1639509,1619
6970342,1684200,978
6970342,1685192,1132
7067323,1542889,1274
7067323,1739740,850
7117040,1592361,1550
7117040,1594997,991
7150692,1625876,1632
7150692,1630054,1785
7187872,1663377,1296
7187872,1665647,766
7187872,1667877,1967
7260113,1590414,1294
7302925,1633194,1327
7302925,1634974,585
7302925,1636538,879
7397484,1537987,1237
7397484,1731070,795
7486369,1626525,1685
7486369,1628617,624
7568790,1709158,1326
7568790,1713638,1352
7582364,1722535,1740
7582364,1725225,571
7582364,1727206,545
7617020,1685880,2918
